"Search Results"

"Summary"
"Saved on","7/18/2022 3:49:43 PM"
"Searched for","interdomain allostery OR intramolecular regulation OR intrasteric regulation OR active-site-directed regulation OR motif exposure OR autoinhibition OR signaling conduit function"
"In folder(s)","G:\My Drive\FIL\cis_project\Gsponer2016\positive_papers"
"Number of document(s) found","62"             
"Number of instance(s) found","893"            

"File name","Title","Page","Search Instance"
"Green 2011.pdf","Ca2+/Calmodulin-dependent Protein Kinase Kinase I2 Is Regulated by Multisite Phosphorylation*","1","binding domain releases autoinhibition allowing for maximal catalytic activity. Human CaMKK and CaMKK"

"File name","Title","Page","Search Instance"
"Lin and DeFea 2013.pdf","Transistor Amplifiers","2","change that relieves autoinhibition and exposes the raf kinase domain to its downstream substrate, "
"Lin and DeFea 2013.pdf","Transistor Amplifiers","7","and autophosphorylation relieve autoinhibition resulting in persistent activation. É¿-Arrestins have been shown to "

"File name","Title","Page","Search Instance"
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","Document Metadata","Title: Disorder in Protein Autoinhibition"
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","Document Metadata","Found 1 instance(s) in additional metadata"
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","Disorder in Protein Autoinhibition Travis Trudeau,1 Roy Nassar,1 Alexander Cumberworth,1 Eric "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","str.2012.12.013 SUMMARY Autoinhibition plays a significant role in the regulation of many proteins. "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","chain is called autoinhibition. Used in signaling proteins, autoinhibition can prevent spurious activation and "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","in signaling proteins, autoinhibition can prevent spurious activation and prime the pathway to respond "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","observed class of autoinhibition. For instance, DNA binding of many transcription factors, including Ets-"
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","the relief of autoinhibition (Padrick and Rosen, 2010). IMs are also frequently used "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","(Hubbard, 2004). Autoinhibition can also impact the cellular localization of a protein as "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","1","Graves, 2002). Alternatively, autoinhibition can also be reinforced via binding to other biomolecules or "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","are regulated via autoinhibition, such as subtilisin proteases, reveals that the whole structural spectrum "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","a review on autoinhibition by Pufall and Graves (2002) were considered (review "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","regions implicated in autoinhibition. The IMs in this data set are clearly enriched in "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","regions necessary for autoinhibition were determined by generating different protein fragments or mutants followed "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","1. Regulation of Autoinhibition In autoinhibited proteins, an inhibitory module (IM, blue) modulates/"
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","regulated, that is, autoinhibition can be actively relieved (right side) or reinforced ("
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","side). Reversal of autoinhibition in most systems relies on posttranslational modifications (PTMs), such "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","side). Reinforcement of autoinhibition has been shown to be caused by binding of partners "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","(left side). Autoinhibition can be caused by direct, steric interactions of the IM "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","2","Intrinsic Disorder in Autoinhibition Structure 21, 332.341, March 5, 2013 a2013 Elsevier "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","results. Regulation of Autoinhibition Autoinhibition is a regulated process and various mechanisms of relief "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","Intrinsic Disorder in Autoinhibition Figure 2. Intrinsic Disorder in IMs (A) Box plot "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","or reinforcement of autoinhibition (Figures S2A and S2B). Phosporylation is the second-most "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","regulation; phosphorylation modulates autoinhibition in 36% and 37% of the proteins in the two "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","the IM. Interestingly, autoinhibition is regulated in a few proteins by alternative mechanisms, such "
"Trudeau 2013.pdf","Structure and Intrinsic Disorder in Protein Autoinhibition","3","the regulation of autoinhibition. It is clear that Figure 1 oversimplifies the regulation of "
